annee;UAI;libelle;region;dont_apprentis_eple;taux_poursuite_etudes;taux_emploi_6_mois;taux_emploi_6_mois_attendu;va_emploi_6_mois;taux_emploi_12_mois;taux_emploi_18_mois;taux_emploi_24_mois;Part en poursuite d'études;Part en emploi 6 mois après la sortie;Part des autres situations
cumul 2018-2019;0620140R;Lycée polyvalent Eugène Woillez;HAUTS-DE-FRANCE;ensemble;52.0;46.0;46.0;0.0;55.0;49.0;65.0;;;
cumul 2018-2019;0620167V;Lycée professionnel Pierre Mendès France;HAUTS-DE-FRANCE;ensemble;50.0;35.0;35.0;0.0;39.0;42.0;43.0;;;
cumul 2018-2019;0620189U;Lycée professionnel Pierre de Coubertin - Lycée des Métiers du Transport et de la Logistique;HAUTS-DE-FRANCE;ensemble;54.0;26.0;25.0;1.0;32.0;37.0;45.0;;;
cumul 2018-2019;0620190V;Lycée professionnel Henri Darras - Lycée des Métiers de la Chaudronnerie Industrielle;HAUTS-DE-FRANCE;dont apprentis;;;;;;;;;;
cumul 2018-2019;0620229M;Etablissement régional d'enseignement adapté Antoine de Saint-Exupéry;HAUTS-DE-FRANCE;ensemble;70.0;;;;;;;;;
cumul 2018-2019;0620258U;Lycée professionnel Voltaire;HAUTS-DE-FRANCE;ensemble;51.0;30.0;28.0;2.0;41.0;45.0;47.0;;;
cumul 2018-2019;0622089J;Lycée professionnel André Malraux;HAUTS-DE-FRANCE;dont apprentis;;;;;;;;;;
cumul 2018-2019;0622099V;Etablissement régional d'enseignement adapté Cote d'Opale;HAUTS-DE-FRANCE;ensemble;58.0;4.0;13.0;-9.0;12.0;24.0;24.0;;;
cumul 2018-2019;0622114L;Lycée polyvalent privé Saint Paul;HAUTS-DE-FRANCE;ensemble;38.0;40.0;50.0;-10.0;43.0;44.0;54.0;;;
cumul 2018-2019;0622150A;Lycée polyvalent privé Jean Bosco;HAUTS-DE-FRANCE;ensemble;39.0;28.0;31.0;-2.0;35.0;45.0;53.0;;;
cumul 2018-2019;0622196A;Lycée Polyvalent Privé Baudimont - Lycée des Métiers du tertiaire commercial et du management;HAUTS-DE-FRANCE;ensemble;40.0;55.0;48.0;7.0;57.0;55.0;59.0;;;
cumul 2018-2019;0622199D;Lycée polyvalent privé Saint Denis;HAUTS-DE-FRANCE;ensemble;35.0;58.0;59.0;-1.0;58.0;64.0;70.0;;;
cumul 2018-2019;0622302R;Etablissement régional d'enseignement adapté Michel Colucci;HAUTS-DE-FRANCE;ensemble;42.0;3.0;12.0;-9.0;9.0;6.0;12.0;;;
cumul 2018-2019;0622801H;Lycée Professionnel Jean Bertin - Lycée des Métiers des Travaux Publics;HAUTS-DE-FRANCE;dont élèves en voie pro sco;59.0;61.0;49.0;12.0;72.0;70.0;76.0;;;
cumul 2018-2019;0622801H;Lycée Professionnel Jean Bertin - Lycée des Métiers des Travaux Publics;HAUTS-DE-FRANCE;dont apprentis;33.0;85.0;78.0;7.0;87.0;76.0;86.0;;;
cumul 2018-2019;0623328F;Lycée Professionnel Henri Senez - Lycée des Métiers;HAUTS-DE-FRANCE;ensemble;42.0;40.0;38.0;2.0;46.0;49.0;49.0;;;
cumul 2018-2019;0623377J;Lycée professionnel du bâtiment François Hennebique;HAUTS-DE-FRANCE;ensemble;46.0;32.0;26.0;6.0;46.0;48.0;57.0;;;
cumul 2018-2019;0630021F;Lycée polyvalent La Fayette - Lycée des métiers de l'ingénierie industrielle;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;55.0;34.0;43.0;-9.0;43.0;43.0;49.0;;;
cumul 2018-2019;0630023H;Lycée professionnel Marie Curie - Lycée des métiers des services aux personnes et aux collectivités;AUVERGNE-RHONE-ALPES;dont apprentis;;;;;;;;;;
cumul 2018-2019;0630041C;Lycée professionnel Henri Sainte Claire Deville - Lycée des métiers des technologies industrielles;AUVERGNE-RHONE-ALPES;ensemble;58.0;48.0;43.0;5.0;56.0;66.0;60.0;;;
cumul 2018-2019;0630041C;Lycée professionnel Henri Sainte Claire Deville - Lycée des métiers des technologies industrielles;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;58.0;48.0;43.0;5.0;55.0;65.0;60.0;;;
cumul 2018-2019;0630061Z;Lycée professionnel Desaix;AUVERGNE-RHONE-ALPES;dont apprentis;35.0;59.0;71.0;-12.0;59.0;59.0;50.0;;;
cumul 2018-2019;0630078T;Lycée professionnel Germaine Tillion;AUVERGNE-RHONE-ALPES;ensemble;51.0;25.0;33.0;-8.0;39.0;45.0;59.0;;;
cumul 2018-2019;0630078T;Lycée professionnel Germaine Tillion;AUVERGNE-RHONE-ALPES;dont apprentis;;;;;;;;;;
cumul 2018-2019;0630665F;Etablissement régional d'enseignement adapté de Lattre de Tassigny;AUVERGNE-RHONE-ALPES;dont apprentis;;;;;;;;;;
cumul 2018-2019;0631048X;Lycée professionnel privé René Rambaud - Coiffure;AUVERGNE-RHONE-ALPES;ensemble;45.0;67.0;55.0;12.0;67.0;67.0;63.0;;;
cumul 2018-2019;0631050Z;Lycée professionnel privé Anna Rodier - Lycée des métiers de l'industrie et des services aux entreprises;AUVERGNE-RHONE-ALPES;ensemble;46.0;26.0;30.0;-4.0;38.0;34.0;40.0;;;
cumul 2018-2019;0631408N;Lycée professionnel privé Les Cordeliers - Lycée des métiers de la santé et du social;AUVERGNE-RHONE-ALPES;ensemble;61.0;38.0;43.0;-4.0;41.0;41.0;38.0;;;
cumul 2018-2019;0631669X;Lycée polyvalent - Lycée des métiers de l'hôtellerie de la restauration et du tourisme;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;42.0;51.0;53.0;-2.0;60.0;53.0;64.0;;;
cumul 2018-2019;0631736V;Lycée professionnel privé Godefroy de Bouillon - Lycée des métiers de l'industrie et des services aux entreprises;AUVERGNE-RHONE-ALPES;ensemble;60.0;36.0;36.0;0.0;45.0;49.0;46.0;;;
cumul 2018-2019;0631861F;Lycée général et technologique René Descartes;AUVERGNE-RHONE-ALPES;ensemble;58.0;55.0;62.0;-7.0;70.0;50.0;75.0;;;
cumul 2018-2019;0631985R;Lycée polyvalent Pierre Joël Bonté - Lycée des métiers des sciences et techniques de l'habitat et des travaux publics;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;57.0;58.0;47.0;10.0;66.0;66.0;73.0;;;
cumul 2018-2019;0631985R;Lycée polyvalent Pierre Joël Bonté - Lycée des métiers des sciences et techniques de l'habitat et des travaux publics;AUVERGNE-RHONE-ALPES;dont apprentis;15.0;77.0;78.0;-1.0;91.0;80.0;74.0;;;
